,id,road_type,num_lanes,curvature,speed_limit,lighting,weather,road_signs_present,public_road,time_of_day,holiday,school_season,num_reported_accidents,accident_risk
18350,18350,rural,4,0.65,70,daylight,foggy,False,False,evening,True,False,0.0,0.39
7915,7915,urban,4,0.62,45,daylight,clear,True,True,evening,False,False,2.0,0.24
17906,17906,urban,2,0.72,25,daylight,rainy,True,True,morning,True,False,0.0,0.4
31957,31957,highway,2,0.86,70,daylight,foggy,False,True,morning,False,False,2.0,0.5
33235,33235,urban,2,0.61,25,dim,rainy,True,False,morning,True,True,2.0,0.31
36606,36606,rural,2,0.36,70,night,foggy,False,False,afternoon,True,False,0.0,0.64
40055,40055,urban,1,0.14,45,dim,clear,False,True,evening,True,False,0.0,0.06
36596,36596,rural,4,0.38,25,dim,rainy,False,True,afternoon,True,True,1.0,0.25
39665,39665,rural,1,0.52,25,dim,clear,False,True,afternoon,False,False,0.0,0.17
35005,35005,highway,1,0.85,70,daylight,clear,True,True,afternoon,True,True,0.0,0.61
15554,15554,highway,3,0.39,70,night,rainy,False,True,morning,True,True,1.0,0.61
38550,38550,rural,1,0.02,35,dim,clear,False,False,morning,True,True,2.0,0.08
17648,17648,rural,3,0.83,60,night,clear,False,False,evening,False,True,2.0,0.77
34983,34983,urban,2,0.67,25,dim,rainy,False,True,morning,True,False,1.0,0.29
7144,7144,urban,3,0.04,60,dim,rainy,False,False,evening,False,False,2.0,0.34
9295,9295,highway,3,0.14,60,dim,foggy,False,False,evening,False,False,1.0,0.35
11495,11495,urban,2,0.96,60,daylight,clear,False,True,afternoon,False,False,0.0,0.56
9443,9443,rural,1,0.44,45,dim,rainy,True,False,morning,False,True,2.0,0.27
37669,37669,urban,3,0.7,25,night,clear,True,True,evening,True,False,2.0,0.38
30486,30486,rural,4,0.57,70,daylight,clear,True,True,morning,True,False,2.0,0.37
19987,19987,rural,4,0.85,70,daylight,clear,False,False,evening,True,True,2.0,0.43
22377,22377,urban,2,0.72,25,dim,foggy,False,False,evening,True,False,1.0,0.29
24866,24866,urban,1,0.3,70,daylight,rainy,True,True,afternoon,False,True,1.0,0.42
43108,43108,rural,3,0.49,35,night,foggy,False,True,morning,True,True,2.0,0.47
15741,15741,urban,4,0.71,25,night,rainy,True,False,afternoon,True,True,3.0,0.57
41981,41981,urban,2,0.7,70,night,foggy,True,False,evening,True,True,2.0,0.71
8525,8525,urban,2,0.04,70,dim,rainy,False,False,evening,False,False,2.0,0.32
38516,38516,urban,3,0.49,45,daylight,foggy,False,True,afternoon,True,True,1.0,0.27
2185,2185,rural,2,0.92,25,daylight,rainy,False,False,evening,False,True,3.0,0.56
39784,39784,urban,1,0.52,35,dim,foggy,True,False,morning,True,False,1.0,0.38
7473,7473,rural,1,0.37,45,dim,rainy,False,False,morning,False,False,1.0,0.25
28630,28630,urban,2,0.49,45,daylight,clear,True,False,morning,False,False,0.0,0.09
36505,36505,urban,4,0.36,25,night,rainy,True,False,evening,True,True,1.0,0.45
41283,41283,highway,2,0.51,70,dim,rainy,False,False,afternoon,False,True,0.0,0.45
7026,7026,urban,3,0.39,25,daylight,clear,True,False,morning,True,True,2.0,0.09
33721,33721,rural,2,0.2,35,daylight,clear,False,False,morning,False,False,2.0,0.09
32117,32117,urban,1,0.73,35,night,clear,True,True,afternoon,False,True,1.0,0.4
40924,40924,rural,2,0.57,35,night,rainy,True,False,afternoon,True,True,0.0,0.42
15106,15106,urban,4,0.8,70,night,clear,False,True,morning,False,True,2.0,0.66
23024,23024,highway,2,0.25,60,daylight,clear,False,False,morning,True,True,1.0,0.22
33358,33358,urban,1,0.59,45,night,foggy,False,False,morning,True,False,3.0,0.61
9770,9770,highway,2,0.09,35,daylight,clear,False,True,afternoon,False,False,0.0,0.03
21467,21467,highway,2,0.16,25,daylight,rainy,True,False,afternoon,True,True,0.0,0.24
21525,21525,rural,1,0.52,25,dim,foggy,True,False,morning,True,True,1.0,0.32
32677,32677,urban,2,0.34,70,dim,foggy,True,True,morning,True,True,0.0,0.46
20060,20060,highway,4,0.7,45,daylight,rainy,True,True,morning,False,False,1.0,0.33
38272,38272,urban,1,0.69,60,dim,rainy,False,True,afternoon,False,True,1.0,0.45
41324,41324,rural,1,0.82,35,dim,clear,False,False,afternoon,False,True,1.0,0.34
25060,25060,highway,2,0.67,35,dim,rainy,False,True,afternoon,True,False,1.0,0.23
19862,19862,highway,4,0.39,25,dim,clear,True,False,evening,False,True,2.0,0.17
37824,37824,rural,4,0.39,45,dim,rainy,False,False,evening,True,False,1.0,0.28
25343,25343,rural,2,0.34,60,dim,foggy,False,False,morning,True,False,1.0,0.36
35312,35312,highway,2,0.22,25,night,clear,True,False,evening,False,True,2.0,0.23
27724,27724,highway,2,0.18,70,night,clear,False,False,morning,True,True,1.0,0.42
8100,8100,highway,4,0.54,25,night,clear,False,False,afternoon,True,True,3.0,0.5
27054,27054,urban,3,0.87,60,night,foggy,False,False,afternoon,True,True,1.0,0.78
19681,19681,highway,1,0.24,70,daylight,foggy,True,False,evening,False,True,2.0,0.34
5796,5796,urban,4,0.04,35,night,foggy,False,False,evening,True,True,0.0,0.23
14064,14064,urban,1,0.35,60,daylight,foggy,True,False,afternoon,False,False,2.0,0.38
5246,5246,rural,2,0.55,35,dim,clear,True,True,evening,True,True,2.0,0.13
2218,2218,rural,1,0.43,70,dim,clear,True,True,evening,False,False,2.0,0.36
23863,23863,highway,1,0.6,70,night,rainy,True,True,evening,False,True,2.0,0.58
20426,20426,urban,2,0.2,60,daylight,rainy,True,False,afternoon,False,True,0.0,0.2
28162,28162,highway,1,0.11,35,night,clear,True,False,afternoon,False,False,1.0,0.28
37023,37023,rural,2,0.47,35,night,rainy,False,True,afternoon,True,True,1.0,0.4
15070,15070,rural,3,0.86,45,daylight,clear,False,False,afternoon,False,True,0.0,0.19
